file,line,ref_type,target,ref_context,target_title,target_excerpt,score,ref_tokens,target_tokens,sufficient,auto_category,manual_label
CHANGELOG.md,182,appendix,C.1,- Phase planning notes linking evaluation phases to Appendix C.1 experiment t...,Experiment Tracking Implementation,"**When to Use:** ML projects with multiple model iterations, parameter tuning...",0.0254,64,14,True,drift,
CHANGELOG.md,192,section,6.4.1,**DSM_1.0 Section 6.4.1** (BACKLOG-063),Milestone Checkpoints,"After each significant milestone (sprint day, phase completion, major feature):",0.0623,44,10,True,drift,
CHANGELOG.md,195,appendix,C.1.3,**Appendix C.1.3** (BACKLOG-062),Capability Experiment Template,"**When to Use:** Testing system behaviors, edge cases, or capabilities where ...",0.0836,42,37,True,drift,
CHANGELOG.md,199,section,15,**DSM 4.0 Section 15** (BACKLOG-067),GitHub Repository Setup Checklist,,0.0000,43,4,True,drift,
CHANGELOG.md,203,appendix,C.1.3,- Appendix C.1.3 reference added to Advanced Practices listing for evaluation...,Capability Experiment Template,"**When to Use:** Testing system behaviors, edge cases, or capabilities where ...",0.0200,36,37,True,drift,
CHANGELOG.md,211,section,6.4.5,**Section 6.4.5 - Blog/Feedback Separation**,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.2715,39,29,True,match,
CHANGELOG.md,217,section,2.5.6,**Section 2.5.6 - Blog Naming Convention**,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.2533,49,15,True,match,
CHANGELOG.md,220,section,2.5.9,**Section 2.5.9 - Blog Style Guide (NEW)**,Blog Style Guide,"When writing blog posts and LinkedIn content, follow these conventions to mai...",0.2874,52,16,True,match,
CHANGELOG.md,225,section,2.5.10,**Section 2.5.10 - Renumbered**,Presentation Preparation Checklist,"Before presenting project results, prepare for common technical questions tha...",0.1081,45,13,True,match,
CHANGELOG.md,238,section,6,**DSM_3 - Section 6: Feedback Handover Process** (BACKLOG-060),Common Patterns,,0.0000,43,2,False,insufficient,
CHANGELOG.md,241,section,6.4.5,- Added handover process to DSM_1.0 Section 6.4.5,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.1890,51,29,True,match,
CHANGELOG.md,278,section,3.2.6,**DSM_1.0 - Section 3.2.6: Coding Anti-Patterns + Appendix F** (BACKLOG-054),Coding Anti-Patterns,Best practices tell you what to do; anti-patterns tell you what NOT to do. Th...,0.3120,63,20,True,match,
CHANGELOG.md,280,section,3.2.6,"- Summary table in Section 3.2.6, detailed reference with code examples in Ap...",Coding Anti-Patterns,Best practices tell you what to do; anti-patterns tell you what NOT to do. Th...,0.3130,62,20,True,match,
CHANGELOG.md,294,section,4.4.1,**DSM_4.0 - Section 4.4.1: Fixture Validation Principle** (BACKLOG-049),Fixture Validation Principle,"Before writing tests against synthetic fixtures, verify the fixture format ma...",0.2585,56,31,True,match,
CHANGELOG.md,297,appendix,C.1.3,- Sprint 1 timing guidance added to Appendix C.1.3,Capability Experiment Template,"**When to Use:** Testing system behaviors, edge cases, or capabilities where ...",0.2649,65,37,True,match,
CHANGELOG.md,299,section,6.5.6,**DSM_1.0 - Section 6.5.6: DSM as Central Project Hub** (BACKLOG-053),DSM as Central Project Hub,DSM Central serves a dual role in the ecosystem:,0.3985,67,10,True,match,
CHANGELOG.md,379,section,6.4.5,**Section 6.4.5: Project Feedback Deliverables** (BACKLOG-041),Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.3677,49,29,True,match,
CHANGELOG.md,383,appendix,E.12,- Appendix E.12 updated to note integration into feedback system,DSM Validation Tracker (Integrated into Feedback System),,0.3222,50,6,True,match,
CHANGELOG.md,385,section,6.5,**Section 6.5: Gateway Review Protocol** (BACKLOG-046),Gateway Review Protocol,,0.4498,51,3,True,match,
CHANGELOG.md,400,section,6.4.5,- **Appendix E.12:** Marked as integrated into feedback system (Section 6.4.5),Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.2516,43,29,True,match,
CHANGELOG.md,400,appendix,E.12,- **Appendix E.12:** Marked as integrated into feedback system (Section 6.4.5),DSM Validation Tracker (Integrated into Feedback System),,0.2779,43,6,True,match,
CHANGELOG.md,401,section,3,- **DSM_0 Section 3:** Project directory structure now has DSM 1.0 and DSM 4....,Standards to Follow,**Documentation Style:**,0.0000,45,4,True,drift,
CHANGELOG.md,418,section,2,**DSM 4.0 v1.3 - Section 2: Project Structure Patterns**,Making Changes,**Fork and Clone:**,0.0000,43,4,True,drift,
CHANGELOG.md,430,section,2,"- New Section 2 inserted, all subsequent sections renumbered (old Section 2 →...",Making Changes,**Fork and Clone:**,0.0000,45,4,True,drift,
CHANGELOG.md,430,section,2,"- New Section 2 inserted, all subsequent sections renumbered (old Section 2 →...",Making Changes,**Fork and Clone:**,0.0000,45,4,True,drift,
CHANGELOG.md,430,section,3,"- New Section 2 inserted, all subsequent sections renumbered (old Section 2 →...",Standards to Follow,**Documentation Style:**,0.0000,45,4,True,drift,
CHANGELOG.md,446,section,2.4,"**Section 2.4 Analysis enhancements (BACKLOG-028, 029, 030, 031):**",Phase 3: Analysis,,0.1510,47,3,True,match,
CHANGELOG.md,448,section,2.4.8,- **Section 2.4.8: Human Performance Baseline** (BACKLOG-028),Human Performance Baseline,"Before evaluating models, establish a human performance baseline to contextua...",0.2598,52,22,True,match,
CHANGELOG.md,453,section,2.4.9,- **Section 2.4.9: Model Complexity vs Explainability** (BACKLOG-029),Model Complexity vs Explainability,"When multiple models achieve similar performance, the choice between them sho...",0.3138,54,16,True,match,
CHANGELOG.md,458,section,2.4.10,- **Section 2.4.10: Grouped Data Splitting** (BACKLOG-031),Grouped Data Splitting,"When samples in a dataset share a common origin entity (user, patient, device...",0.1535,47,33,True,match,
CHANGELOG.md,463,appendix,D.2.7,**Appendix D.2.7: Embedding Visualization (BACKLOG-030):**,Embedding Visualization,"When comparing multiple text representation methods (TF-IDF, word embeddings,...",0.1174,41,25,True,match,
CHANGELOG.md,468,section,2.5,"**Section 2.5 Blog/Communication process (BACKLOG-023, 024, 025):**",Phase 4: Communication,,0.2283,50,3,True,match,
CHANGELOG.md,470,section,2.5.6,- **Section 2.5.6: Blog/Communication Deliverable Process** (BACKLOG-023),Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.2927,50,15,True,match,
CHANGELOG.md,474,section,2.5.7,- **Section 2.5.7: Publication Strategy** (BACKLOG-024),Publication Strategy,"When publishing on LinkedIn or similar platforms, a project blog produces thr...",0.1968,52,12,True,match,
CHANGELOG.md,479,section,2.5.8,- **Section 2.5.8: Blog Post as Standard Deliverable** (BACKLOG-025),Blog Post as Standard Deliverable,All finalized projects should produce a blog post as a standard communication...,0.3599,44,31,True,match,
CHANGELOG.md,484,section,2.5.9,- **Section 2.5.9: Presentation Preparation Checklist** (BACKLOG-035),Blog Style Guide,"When writing blog posts and LinkedIn content, follow these conventions to mai...",0.0468,40,16,True,drift,
CHANGELOG.md,502,appendix,A.10,**Appendix A.10: External API Portability (BACKLOG-027):**,External API Portability,"When projects depend on external APIs for data download (Kaggle, HuggingFace,...",0.1460,42,21,True,match,
CHANGELOG.md,508,section,6.4.6,**Section 6.4.6: Documentation Audit (BACKLOG-034):**,Documentation Audit,"Before marking a project as finalized, verify documentation completeness. Thi...",0.2704,32,14,True,match,
CHANGELOG.md,515,section,2.4,"- **DSM_0:** Core Content updated with new Section 2.4, 2.5 subsections; Appe...",Phase 3: Analysis,,0.0000,67,3,True,drift,
CHANGELOG.md,515,appendix,A.10,"- **DSM_0:** Core Content updated with new Section 2.4, 2.5 subsections; Appe...",External API Portability,"When projects depend on external APIs for data download (Kaggle, HuggingFace,...",0.0000,67,21,True,drift,
CHANGELOG.md,530,section,3.5,- **Section 3.5: Inclusive Language**,Inclusive Language,Technical writing should be welcoming to all readers. Choose examples and ter...,0.2499,39,13,True,match,
CHANGELOG.md,539,section,3.5,- **DSM_0:** Core Content updated with Section 3.5,Inclusive Language,Technical writing should be welcoming to all readers. Choose examples and ter...,0.2916,42,13,True,match,
CHANGELOG.md,551,section,14,**New subsection in DSM 4.0 Section 14 (GitHub Repository Setup):**,Sprint Planning Template,,0.0544,37,3,True,drift,
CHANGELOG.md,603,appendix,A,**New subsections in Appendix A (Environment Setup Details):**,Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.1681,45,12,True,match,
CHANGELOG.md,624,appendix,A,"- **DSM_0:** Appendix A description updated with A.7-A.9, version notes added",Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.0717,48,12,True,drift,
CHANGELOG.md,636,section,6.4,**New subsection in Section 6.4 (Checkpoint and Feedback Protocol):**,Checkpoint and Feedback Protocol,,0.4820,37,3,True,match,
CHANGELOG.md,638,section,6.4.5,- **Section 6.4.5: Project Feedback Deliverables**,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.4489,45,29,True,match,
CHANGELOG.md,648,section,6.4.3,- **Section 6.4.3:** Updated feedback loop diagram to show both deliverable p...,Feedback Loop,This creates continuous methodology improvement through real-world validation.,0.1587,69,8,True,match,
CHANGELOG.md,649,section,6.4.5,"- **DSM_0:** Core Content updated with Section 6.4.5, version notes added",Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.1720,63,29,True,match,
CHANGELOG.md,661,section,2.4,**New subsections in Section 2.4 (Analysis):**,Phase 3: Analysis,,0.1938,36,3,True,match,
CHANGELOG.md,663,section,2.4.6,- **Section 2.4.6: Model Comparison Documentation** (BACKLOG-018),Model Comparison Documentation,"When comparing multiple models or approaches, use this structured template to...",0.1520,43,17,True,match,
CHANGELOG.md,669,section,2.4.7,- **Section 2.4.7: Error Analysis Framework** (BACKLOG-019),Error Analysis Framework,"After model selection, conduct structured error analysis to understand failur...",0.2432,48,15,True,match,
CHANGELOG.md,679,section,2.4.6,"- **DSM_0:** Core Content updated with Section 2.4.6-2.4.7, version notes added",Model Comparison Documentation,"When comparing multiple models or approaches, use this structured template to...",0.1941,52,17,True,match,
CHANGELOG.md,691,appendix,D.2,**New subsections in Appendix D.2 (NLP Projects):**,NLP Projects,,0.0000,46,2,False,insufficient,
CHANGELOG.md,697,section,2.2,- Cross-references to Section 2.2 and Appendix B.2.4,Phase 1: Exploration,,0.0000,55,3,True,drift,
CHANGELOG.md,697,appendix,B.2.4,- Cross-references to Section 2.2 and Appendix B.2.4,EDA Techniques by Data Type,**Numeric Data:**,0.0820,55,6,True,drift,
CHANGELOG.md,703,section,2.3.7,- Cross-reference to Section 2.3.7 (Data Leakage Prevention),Data Leakage Prevention,**Context:** Data leakage occurs when information from outside the training d...,0.1306,57,21,True,match,
CHANGELOG.md,714,appendix,D,"- **DSM_0:** Appendix D description updated with D.2.4-D.2.6, version notes a...",Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.1485,64,10,True,match,
CHANGELOG.md,728,section,2.3.7,- **Section 2.3.7: Data Leakage Prevention** (~75 lines),Data Leakage Prevention,**Context:** Data leakage occurs when information from outside the training d...,0.3499,50,21,True,match,
CHANGELOG.md,749,section,4,"**Improved Quick Start Guide (Section 4, Step 3):**",Commit Guidelines,**Commit Message Format:**,0.0000,40,5,True,drift,
CHANGELOG.md,767,appendix,C,**New section in Appendix C (Advanced Practices):**,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.1502,36,13,True,match,
CHANGELOG.md,775,section,3.4,- Cross-references to C.1.3-C.1.5 and DSM 4.0 Section 3.4,Directory Structure,,0.0000,31,2,False,insufficient,
CHANGELOG.md,793,section,3.4,- **Section 3.4: Tests vs Capability Experiments** (~40 lines),Directory Structure,,0.0000,47,2,False,insufficient,
CHANGELOG.md,816,section,4,- **Section 4 (Quick Start Guide) restructured:**,Commit Guidelines,**Commit Message Format:**,0.0000,53,5,True,drift,
CHANGELOG.md,823,section,5,- **New Project Checklist (Section 5):**,Pull Request Process,**Update Documentation:**,0.0489,50,5,True,drift,
CHANGELOG.md,870,section,15,- **Section 15: Beyond DSM: Production & MLOps** (~35 lines),GitHub Repository Setup Checklist,,0.0000,51,4,True,drift,
CHANGELOG.md,878,section,16,"- **DSM 4.0:** Version updated to 1.2, Version History renumbered to Section 16",Beyond DSM: Production & MLOps,DSM focuses on building ML applications through the 4-phase workflow. For pro...,0.0507,46,18,True,drift,
CHANGELOG.md,894,section,6.4,- **Section 6.4: Checkpoint and Feedback Protocol** (~70 lines),Checkpoint and Feedback Protocol,,0.5067,49,3,True,match,
CHANGELOG.md,900,appendix,E.12,- **Appendix E.12: DSM Validation Tracker Template** (~130 lines),DSM Validation Tracker (Integrated into Feedback System),,0.4785,46,6,True,match,
CHANGELOG.md,933,appendix,C,**New sections in Appendix C for software/RAG project evaluation:**,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.0000,40,13,True,drift,
CHANGELOG.md,1002,section,2.1.9,- **Section 2.1.9: Business Understanding Foundation** (~70 lines),Business Understanding Foundation,**Purpose:** Establish business context before data exploration. This isn't s...,0.6417,60,22,True,match,
CHANGELOG.md,1008,section,2.2.2,- **Section 2.2.2: Three-Layer EDA Framework** (~70 lines),Key Activities,**Data Quality Assessment:**,0.0217,51,5,True,drift,
CHANGELOG.md,1014,section,2.2.3,- **Section 2.2.3: Enhanced Deliverables** (~55 lines),Deliverables,**Required Outputs:**,0.0714,44,3,True,drift,
CHANGELOG.md,1019,section,2.2.4,- **Section 2.2.4: EDA Exit Criteria** (~45 lines),Success Criteria,**EDA Exit Criteria Checklist:**,0.3333,42,6,True,match,
CHANGELOG.md,1025,appendix,B.2.4,- **Appendix B.2.4: EDA Techniques by Data Type** (~40 lines),EDA Techniques by Data Type,**Numeric Data:**,0.5415,53,6,True,match,
CHANGELOG.md,1031,appendix,B.2.5,- **Appendix B.2.5: Business Understanding Integration** (~30 lines),Business Understanding Integration,**Domain Briefing Template (Before EDA):**,0.3979,53,8,True,match,
CHANGELOG.md,1035,appendix,B.2.6,- **Appendix B.2.6: References** (~15 lines),References,**EDA Framework Foundations:**,0.2468,43,4,True,match,
CHANGELOG.md,1113,section,6.1,- Updated Section 6.1 (Session Management) with new location guidance,Session Management,,0.0000,44,2,False,insufficient,
CHANGELOG.md,1120,appendix,D,- `DSM_1.0_Methodology_Appendices.md` - Added DSM 4.0 reference in Appendix D...,Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.2310,56,10,True,match,
CHANGELOG.md,1143,appendix,B.4.3,- **MOD-20: Scale-Dependent Validation Protocol** - Added to Appendix B.4.3,Scale-Dependent Validation Protocol,**Critical Finding:** Model selection at sample scale may not hold at product...,0.7994,51,12,True,match,
CHANGELOG.md,1149,section,4.1.5,- **MOD-21: Hypothesis Testing with Rejection Protocol** - Added to Section 4...,Hypothesis Testing with Rejection Protocol,"**Core Principle:** Design experiments that CAN fail, document negative resul...",0.3663,51,14,True,match,
CHANGELOG.md,1156,appendix,E.6.1,- **MOD-22: Decision Invalidation Arc Documentation** - Added to Appendix E.6.1,Decision Invalidation Arc Documentation,"**Purpose:** Track how decisions evolve over time, including when earlier dec...",0.4857,50,15,True,match,
CHANGELOG.md,1163,appendix,A.6,- **MOD-23: Environment Transition Checklist** - Added to Appendix A.6,Environment Transition Checklist,"**Purpose:** Guide for transitioning between development environments (e.g., ...",0.3678,47,13,True,match,
CHANGELOG.md,1189,section,1.5,- Added flexible sprint duration configuration (DSM_0 Section 1.5),Project Timeline Configuration,,0.1139,51,3,True,match,
CHANGELOG.md,1192,appendix,D.1.4,- **MOD-18: Temporal Consistency Principle** - Added to Appendix D.1.4,Temporal Consistency Principle (Critical for Seasonal Data),**Key Insight from Retail Forecasting Project:**,0.2730,48,11,True,match,
CHANGELOG.md,1195,appendix,B.3.3,- **MOD-19: Feature Ablation Methodology** - Added to Appendix B.3.3,Feature Ablation Study Methodology,**Purpose:** Systematically validate which features improve model performance,0.2190,49,11,True,match,
CHANGELOG.md,1200,section,6.2.5,- **MOD-01: Cell-by-Cell Execution Protocol** - Added to Section 6.2.5,Progressive Execution Standard (Cell-by-Cell Protocol),**Jupyter Notebook Execution Best Practice:**,0.4302,46,10,True,match,
CHANGELOG.md,1202,section,1.3.5,- **MOD-03: Factual Accuracy Requirement** - Added to Section 1.3.5,Factual Accuracy - No Guessing,"**Core Principle:** Never provide information based on estimation, assumption...",0.1825,47,15,True,match,
CHANGELOG.md,1206,section,3.4.5,- **MOD-05: Feature Dictionary Standard** - Added to Section 3.4.5,Feature Dictionary Standard,**Purpose:** Document all features (original + engineered) for reproducibilit...,0.1536,50,12,True,match,
CHANGELOG.md,1208,appendix,E.6,- **MOD-06: Enhanced Decision Log Format** - Updated Appendix E.6,Enhanced Decision Log Format,**Each decision should include these sections:**,0.2485,48,8,True,match,
CHANGELOG.md,1210,appendix,E.10.4,- **MOD-11: Verification Script Template** - Added to Appendix E.10.4,Sprint Transition Verification Script,**Purpose:** Automated check that sprint is complete before proceeding to nex...,0.2109,49,11,True,match,
CHANGELOG.md,1212,appendix,D.1.5,- **MOD-16: Correlation Aggregation Warning** - Added to Appendix D.1.5,Aggregation Level Impacts Correlation,**Critical Finding from Retail Forecasting Project:**,0.1011,48,9,True,match,
CHANGELOG.md,1214,section,2.3.6,- **MOD-17: NaN Strategy Documentation** - Added to Section 2.3.6,Missing Value Strategy for Engineered Features,**Context:** Lag and rolling features naturally create NaN values at boundaries,0.2659,45,14,True,match,
CHANGELOG.md,1218,section,3.2.5,- **MOD-02: Print Statement Standards** - Added to Section 3.2.5,Print Statement Standards,**DO Print (Informative Outputs):**,0.2051,49,7,True,match,
CHANGELOG.md,1235,section,8.4,- DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md (Section 8.4),Appendix References,**Complete methodology system includes:**,0.0788,28,5,True,drift,
CHANGELOG.md,1267,appendix,A,- Appendix A: Environment Setup Details (583 lines),Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.2048,44,12,True,match,
CHANGELOG.md,1268,appendix,B,- Appendix B: Phase Deep Dives (643 lines),Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.2334,46,12,True,match,
CHANGELOG.md,1269,appendix,C,- Appendix C: Advanced Practices Detailed (500 lines),Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.2419,49,13,True,match,
CHANGELOG.md,1270,appendix,D,- Appendix D: Domain Adaptations (374 lines),Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.1082,47,10,True,match,
CHANGELOG.md,1271,appendix,E,- Appendix E: Quick Reference (327 lines),Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.1114,41,11,True,match,
CHANGELOG.md,1276,section,8.4,- `1.0_Data_Science_Collaboration_Methodology_v1.1.md` - Updated Section 8.4 ...,Appendix References,**Complete methodology system includes:**,0.1862,35,5,True,match,
CHANGELOG.md,1289,appendix,E.11,- **Appendix E.11:** File Naming Standards (~212 lines),File Naming Standards,**Convention:** `sYY_dXX_PHASE_description.extension`,0.4130,42,5,True,match,
CHANGELOG.md,1401,section,4.1.2,"- Enhanced navigation: easy section referencing (e.g., ""See Section 4.1.2"")",Decision Log Template,,0.0000,48,3,True,drift,
CHANGELOG.md,1405,appendix,D,"**Five New Appendix Documents (1,552 additional lines):**",Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.0914,43,10,True,drift,
CHANGELOG.md,1466,section,4.1.4,- TravelTide decision log example in main doc (Section 4.1.4),Example from TravelTide,**Real Decision Log Entry:**,0.2588,34,6,True,match,
DSM_0.1_File_Naming_Quick_Reference.md,162,appendix,E.11,"**For detailed guidance, see:** Appendix E.11 in `1.0_Methodology_Appendices.md`",File Naming Standards,**Convention:** `sYY_dXX_PHASE_description.extension`,0.0520,28,5,True,drift,
DSM_0.2_Custom_Instructions_v1.1.md,36,section,6.4.3,"DSM_3 Section 6.4.3 (implement, defer, or reject; then remove from inbox).",Feedback Loop,This creates continuous methodology improvement through real-world validation.,0.0000,47,8,True,drift,
DSM_0.2_Custom_Instructions_v1.1.md,150,section,2.2,"1. Note which DSM section was referenced (e.g., ""Section 2.2"", ""Appendix B.2"")",Phase 1: Exploration,,0.0000,41,3,True,drift,
DSM_0.2_Custom_Instructions_v1.1.md,150,appendix,B.2,"1. Note which DSM section was referenced (e.g., ""Section 2.2"", ""Appendix B.2"")",Phase 1 Deep Dive: Exploration,,0.0000,41,5,True,drift,
DSM_0.2_Custom_Instructions_v1.1.md,153,section,6.4,"4. Reference: Section 6.4 (Checkpoint Protocol), Appendix E.12 (Validation Tr...",Checkpoint and Feedback Protocol,,0.2769,43,3,True,match,
DSM_0.2_Custom_Instructions_v1.1.md,153,appendix,E.12,"4. Reference: Section 6.4 (Checkpoint Protocol), Appendix E.12 (Validation Tr...",DSM Validation Tracker (Integrated into Feedback System),,0.2552,43,6,True,match,
DSM_0.2_Custom_Instructions_v1.1.md,168,section,7,"blog posts, LinkedIn), use the canonical descriptions in **DSM_3 Section 7**",Tips for Success,,0.0000,34,2,False,insufficient,
DSM_0.2_Custom_Instructions_v1.1.md,190,appendix,C.1.3,**Design decision documentation:** When implementing code that involves desig...,Capability Experiment Template,"**When to Use:** Testing system behaviors, edge cases, or capabilities where ...",0.0651,65,37,True,drift,
